sku_id,atc_code,atc_level1,atc_level2,atc_level3,atc_level4,product_name,sku_name,generic_name,generic_name_cn,category,therapy_area,dosage_form,specification,is_rx,is_essential_medicine,vbp_flag,vbp_batch,unit_price_cny,shelf_life_months,storage_type,cold_chain,supplier,lead_time_days
SKU-0013,C10AA01,C,C10,C10A,C10AA,Simvastatin Tablets 250mgx21,辛伐他汀Tablets 250mgx21,Simvastatin,辛伐他汀,C10A,Cardiovascular,Tablets,250mgx21,1,1,1,5,36.44,36,Ambient,0,诺华制药,30
SKU-0014,C09CA01,C,C09,C09C,C09CA,Losartan Injection 500mgx30,氯沙坦Injection 500mgx30,Losartan,氯沙坦,C09C,Cardiovascular,Injection,500mgx30,1,1,1,4,10.67,24,Ambient,0,诺华制药,21
SKU-0015,C07AB07,C,C07,C07A,C07AB,Bisoprolol Injection 10mgx90,比索洛尔Injection 10mgx90,Bisoprolol,比索洛尔,C07A,Cardiovascular,Injection,10mgx90,1,0,0,0,70.93,48,Ambient,0,科伦药业,14
SKU-0016,C10AA07,C,C10,C10A,C10AA,Rosuvastatin Tablets 100mgx90,瑞舒伐他汀Tablets 100mgx90,Rosuvastatin,瑞舒伐他汀,C10A,Cardiovascular,Tablets,100mgx90,1,0,0,0,62.32,36,Ambient,0,扬子江药业,21
SKU-0017,C08CA01,C,C08,C08C,C08CA,Amlodipine Tablets 10mgx7,氨氯地平Tablets 10mgx7,Amlodipine,氨氯地平,C08C,Cardiovascular,Tablets,10mgx7,1,0,1,1,45.11,36,Ambient,0,正大天晴,14
SKU-0018,C07AB02,C,C07,C07A,C07AB,Metoprolol Oral Solution 100mgx60,美托洛尔Oral Solution 100mgx60,Metoprolol,美托洛尔,C07A,Cardiovascular,Oral Solution,100mgx60,1,0,1,4,5.61,18,Ambient,0,辉瑞制药,21
SKU-0019,C09CA03,C,C09,C09C,C09CA,Valsartan Granules 25mgx90,缬沙坦Granules 25mgx90,Valsartan,缬沙坦,C09C,Cardiovascular,Granules,25mgx90,1,0,1,7,57.59,12,Ambient,0,石药集团,14
SKU-0020,C10AA05,C,C10,C10A,C10AA,Atorvastatin Injection 250mgx60,阿托伐他汀Injection 250mgx60,Atorvastatin,阿托伐他汀,C10A,Cardiovascular,Injection,250mgx60,1,0,0,0,6.07,18,Ambient,0,阿斯利康,30
SKU-0021,C10AA01,C,C10,C10A,C10AA,Simvastatin Oral Solution 500mgx28,辛伐他汀Oral Solution 500mgx28,Simvastatin,辛伐他汀,C10A,Cardiovascular,Oral Solution,500mgx28,1,0,0,0,24.22,48,Ambient,0,辉瑞制药,14
SKU-0022,C09CA01,C,C09,C09C,C09CA,Losartan Tablets 25mgx7,氯沙坦Tablets 25mgx7,Losartan,氯沙坦,C09C,Cardiovascular,Tablets,25mgx7,1,1,0,0,58.67,48,Ambient,0,齐鲁制药,30
SKU-0023,C07AB07,C,C07,C07A,C07AB,Bisoprolol Granules 500mgx30,比索洛尔Granules 500mgx30,Bisoprolol,比索洛尔,C07A,Cardiovascular,Granules,500mgx30,1,0,0,0,10.84,18,Ambient,0,诺华制药,7
SKU-0024,C10AA07,C,C10,C10A,C10AA,Rosuvastatin Injection 100mgx90,瑞舒伐他汀Injection 100mgx90,Rosuvastatin,瑞舒伐他汀,C10A,Cardiovascular,Injection,100mgx90,1,0,0,0,12.48,36,Ambient,0,扬子江药业,30
SKU-0025,C08CA01,C,C08,C08C,C08CA,Amlodipine Oral Solution 10mgx21,氨氯地平Oral Solution 10mgx21,Amlodipine,氨氯地平,C08C,Cardiovascular,Oral Solution,10mgx21,1,0,1,9,51.17,36,Ambient,0,辉瑞制药,14
SKU-0026,C07AB02,C,C07,C07A,C07AB,Metoprolol Capsules 50mgx100,美托洛尔Capsules 50mgx100,Metoprolol,美托洛尔,C07A,Cardiovascular,Capsules,50mgx100,1,1,0,0,57.37,24,Ambient,0,赛诺菲,7
SKU-0027,C09CA03,C,C09,C09C,C09CA,Valsartan Granules 250mgx90,缬沙坦Granules 250mgx90,Valsartan,缬沙坦,C09C,Cardiovascular,Granules,250mgx90,1,1,0,0,26.35,48,Ambient,0,阿斯利康,21
SKU-0028,C10AA05,C,C10,C10A,C10AA,Atorvastatin Tablets 20mgx100,阿托伐他汀Tablets 20mgx100,Atorvastatin,阿托伐他汀,C10A,Cardiovascular,Tablets,20mgx100,1,0,0,0,38.06,12,Ambient,0,齐鲁制药,30
SKU-0029,C10AA01,C,C10,C10A,C10AA,Simvastatin Oral Solution 10mgx28,辛伐他汀Oral Solution 10mgx28,Simvastatin,辛伐他汀,C10A,Cardiovascular,Oral Solution,10mgx28,1,1,1,3,15.92,18,Ambient,0,扬子江药业,14
SKU-0030,C09CA01,C,C09,C09C,C09CA,Losartan Capsules 25mgx60,氯沙坦Capsules 25mgx60,Losartan,氯沙坦,C09C,Cardiovascular,Capsules,25mgx60,1,0,0,0,57.28,36,Ambient,0,扬子江药业,14
SKU-0031,C07AB07,C,C07,C07A,C07AB,Bisoprolol Tablets 10mgx28,比索洛尔Tablets 10mgx28,Bisoprolol,比索洛尔,C07A,Cardiovascular,Tablets,10mgx28,1,0,0,0,66.85,24,Ambient,0,齐鲁制药,30
SKU-0032,C10AA07,C,C10,C10A,C10AA,Rosuvastatin Granules 100mgx14,瑞舒伐他汀Granules 100mgx14,Rosuvastatin,瑞舒伐他汀,C10A,Cardiovascular,Granules,100mgx14,1,0,1,2,21.58,24,Cold Chain,1,正大天晴,14
SKU-0033,C08CA01,C,C08,C08C,C08CA,Amlodipine Capsules 50mgx14,氨氯地平Capsules 50mgx14,Amlodipine,氨氯地平,C08C,Cardiovascular,Capsules,50mgx14,1,0,0,0,14.59,12,Ambient,0,石药集团,14
SKU-0034,C07AB02,C,C07,C07A,C07AB,Metoprolol Injection 25mgx7,美托洛尔Injection 25mgx7,Metoprolol,美托洛尔,C07A,Cardiovascular,Injection,25mgx7,1,1,1,2,62.94,18,Ambient,0,齐鲁制药,30
SKU-0035,C09CA03,C,C09,C09C,C09CA,Valsartan Injection 500mgx30,缬沙坦Injection 500mgx30,Valsartan,缬沙坦,C09C,Cardiovascular,Injection,500mgx30,1,0,0,0,38.71,18,Ambient,0,辉瑞制药,14
SKU-0036,C10AA05,C,C10,C10A,C10AA,Atorvastatin Tablets 250mgx21,阿托伐他汀Tablets 250mgx21,Atorvastatin,阿托伐他汀,C10A,Cardiovascular,Tablets,250mgx21,1,1,0,0,60.62,24,Ambient,0,诺华制药,21
SKU-0037,C10AA01,C,C10,C10A,C10AA,Simvastatin Capsules 10mgx90,辛伐他汀Capsules 10mgx90,Simvastatin,辛伐他汀,C10A,Cardiovascular,Capsules,10mgx90,1,0,1,3,54.86,24,Ambient,0,恒瑞医药,30
SKU-0038,C09CA01,C,C09,C09C,C09CA,Losartan Capsules 25mgx90,氯沙坦Capsules 25mgx90,Losartan,氯沙坦,C09C,Cardiovascular,Capsules,25mgx90,1,0,0,0,55.42,12,Ambient,0,齐鲁制药,7
SKU-0039,C07AB07,C,C07,C07A,C07AB,Bisoprolol Capsules 50mgx100,比索洛尔Capsules 50mgx100,Bisoprolol,比索洛尔,C07A,Cardiovascular,Capsules,50mgx100,1,0,0,0,33.0,18,Ambient,0,诺华制药,14
SKU-0040,C10AA07,C,C10,C10A,C10AA,Rosuvastatin Capsules 5mgx60,瑞舒伐他汀Capsules 5mgx60,Rosuvastatin,瑞舒伐他汀,C10A,Cardiovascular,Capsules,5mgx60,1,0,1,5,8.56,36,Ambient,0,石药集团,21
SKU-0041,C08CA01,C,C08,C08C,C08CA,Amlodipine Granules 250mgx28,氨氯地平Granules 250mgx28,Amlodipine,氨氯地平,C08C,Cardiovascular,Granules,250mgx28,1,1,0,0,43.05,48,Ambient,0,辉瑞制药,30
SKU-0042,C07AB02,C,C07,C07A,C07AB,Metoprolol Granules 100mgx90,美托洛尔Granules 100mgx90,Metoprolol,美托洛尔,C07A,Cardiovascular,Granules,100mgx90,1,1,1,5,5.76,24,Ambient,0,诺华制药,14
SKU-0043,C09CA03,C,C09,C09C,C09CA,Valsartan Tablets 500mgx90,缬沙坦Tablets 500mgx90,Valsartan,缬沙坦,C09C,Cardiovascular,Tablets,500mgx90,1,1,0,0,19.98,24,Ambient,0,石药集团,14
SKU-0044,C10AA05,C,C10,C10A,C10AA,Atorvastatin Capsules 5mgx7,阿托伐他汀Capsules 5mgx7,Atorvastatin,阿托伐他汀,C10A,Cardiovascular,Capsules,5mgx7,1,0,0,0,41.05,48,Ambient,0,诺华制药,21
SKU-0045,C10AA01,C,C10,C10A,C10AA,Simvastatin Oral Solution 500mgx30,辛伐他汀Oral Solution 500mgx30,Simvastatin,辛伐他汀,C10A,Cardiovascular,Oral Solution,500mgx30,1,0,0,0,77.46,12,Ambient,0,科伦药业,30
SKU-0046,C09CA01,C,C09,C09C,C09CA,Losartan Granules 50mgx60,氯沙坦Granules 50mgx60,Losartan,氯沙坦,C09C,Cardiovascular,Granules,50mgx60,1,0,0,0,50.35,48,Ambient,0,正大天晴,30
SKU-0047,C07AB07,C,C07,C07A,C07AB,Bisoprolol Capsules 50mgx100,比索洛尔Capsules 50mgx100,Bisoprolol,比索洛尔,C07A,Cardiovascular,Capsules,50mgx100,1,0,0,0,31.19,48,Ambient,0,正大天晴,30
SKU-0048,C10AA07,C,C10,C10A,C10AA,Rosuvastatin Granules 100mgx28,瑞舒伐他汀Granules 100mgx28,Rosuvastatin,瑞舒伐他汀,C10A,Cardiovascular,Granules,100mgx28,1,0,0,0,23.2,12,Ambient,0,正大天晴,7
SKU-0049,C08CA01,C,C08,C08C,C08CA,Amlodipine Oral Solution 20mgx100,氨氯地平Oral Solution 20mgx100,Amlodipine,氨氯地平,C08C,Cardiovascular,Oral Solution,20mgx100,1,0,1,3,78.95,18,Ambient,0,辉瑞制药,30
SKU-0050,C07AB02,C,C07,C07A,C07AB,Metoprolol Granules 50mgx28,美托洛尔Granules 50mgx28,Metoprolol,美托洛尔,C07A,Cardiovascular,Granules,50mgx28,1,0,0,0,12.99,12,Ambient,0,科伦药业,14
SKU-0051,C09CA03,C,C09,C09C,C09CA,Valsartan Tablets 500mgx7,缬沙坦Tablets 500mgx7,Valsartan,缬沙坦,C09C,Cardiovascular,Tablets,500mgx7,1,0,0,0,10.91,18,Ambient,0,正大天晴,7
SKU-0052,C10AA05,C,C10,C10A,C10AA,Atorvastatin Tablets 5mgx60,阿托伐他汀Tablets 5mgx60,Atorvastatin,阿托伐他汀,C10A,Cardiovascular,Tablets,5mgx60,1,0,1,9,20.0,12,Ambient,0,赛诺菲,14
SKU-0053,C10AA01,C,C10,C10A,C10AA,Simvastatin Granules 10mgx100,辛伐他汀Granules 10mgx100,Simvastatin,辛伐他汀,C10A,Cardiovascular,Granules,10mgx100,1,0,0,0,27.0,36,Ambient,0,正大天晴,30
SKU-0054,C09CA01,C,C09,C09C,C09CA,Losartan Granules 100mgx100,氯沙坦Granules 100mgx100,Losartan,氯沙坦,C09C,Cardiovascular,Granules,100mgx100,1,0,0,0,78.5,18,Ambient,0,正大天晴,30
SKU-0055,C07AB07,C,C07,C07A,C07AB,Bisoprolol Injection 100mgx30,比索洛尔Injection 100mgx30,Bisoprolol,比索洛尔,C07A,Cardiovascular,Injection,100mgx30,1,1,0,0,6.12,12,Ambient,0,石药集团,21
SKU-0056,C10AA07,C,C10,C10A,C10AA,Rosuvastatin Tablets 25mgx28,瑞舒伐他汀Tablets 25mgx28,Rosuvastatin,瑞舒伐他汀,C10A,Cardiovascular,Tablets,25mgx28,1,0,1,7,66.14,24,Ambient,0,正大天晴,14
SKU-0057,C08CA01,C,C08,C08C,C08CA,Amlodipine Oral Solution 100mgx14,氨氯地平Oral Solution 100mgx14,Amlodipine,氨氯地平,C08C,Cardiovascular,Oral Solution,100mgx14,1,0,0,0,16.59,12,Ambient,0,辉瑞制药,14
SKU-0058,C07AB02,C,C07,C07A,C07AB,Metoprolol Oral Solution 500mgx90,美托洛尔Oral Solution 500mgx90,Metoprolol,美托洛尔,C07A,Cardiovascular,Oral Solution,500mgx90,1,0,0,0,26.61,18,Ambient,0,阿斯利康,14
SKU-0059,C09CA03,C,C09,C09C,C09CA,Valsartan Tablets 10mgx21,缬沙坦Tablets 10mgx21,Valsartan,缬沙坦,C09C,Cardiovascular,Tablets,10mgx21,1,1,0,0,60.08,18,Ambient,0,石药集团,30
SKU-0060,C10AA05,C,C10,C10A,C10AA,Atorvastatin Oral Solution 250mgx90,阿托伐他汀Oral Solution 250mgx90,Atorvastatin,阿托伐他汀,C10A,Cardiovascular,Oral Solution,250mgx90,1,0,0,0,20.03,24,Ambient,0,阿斯利康,14
SKU-0061,C10AA01,C,C10,C10A,C10AA,Simvastatin Tablets 50mgx28,辛伐他汀Tablets 50mgx28,Simvastatin,辛伐他汀,C10A,Cardiovascular,Tablets,50mgx28,1,0,1,2,32.98,48,Ambient,0,科伦药业,7
SKU-0062,C09CA01,C,C09,C09C,C09CA,Losartan Granules 5mgx100,氯沙坦Granules 5mgx100,Losartan,氯沙坦,C09C,Cardiovascular,Granules,5mgx100,1,1,1,5,40.37,36,Ambient,0,辉瑞制药,7
SKU-0063,C07AB07,C,C07,C07A,C07AB,Bisoprolol Capsules 500mgx28,比索洛尔Capsules 500mgx28,Bisoprolol,比索洛尔,C07A,Cardiovascular,Capsules,500mgx28,1,0,0,0,79.96,36,Ambient,0,辉瑞制药,21
SKU-0064,C10AA07,C,C10,C10A,C10AA,Rosuvastatin Oral Solution 5mgx30,瑞舒伐他汀Oral Solution 5mgx30,Rosuvastatin,瑞舒伐他汀,C10A,Cardiovascular,Oral Solution,5mgx30,1,0,1,4,55.78,36,Ambient,0,扬子江药业,14
SKU-0065,C08CA01,C,C08,C08C,C08CA,Amlodipine Capsules 20mgx90,氨氯地平Capsules 20mgx90,Amlodipine,氨氯地平,C08C,Cardiovascular,Capsules,20mgx90,1,1,1,1,23.85,36,Ambient,0,科伦药业,30
SKU-0066,C07AB02,C,C07,C07A,C07AB,Metoprolol Injection 500mgx60,美托洛尔Injection 500mgx60,Metoprolol,美托洛尔,C07A,Cardiovascular,Injection,500mgx60,1,0,0,0,47.41,18,Ambient,0,恒瑞医药,21
SKU-0067,C09CA03,C,C09,C09C,C09CA,Valsartan Granules 25mgx14,缬沙坦Granules 25mgx14,Valsartan,缬沙坦,C09C,Cardiovascular,Granules,25mgx14,1,0,0,0,34.23,24,Ambient,0,赛诺菲,14
SKU-0068,C10AA05,C,C10,C10A,C10AA,Atorvastatin Tablets 500mgx90,阿托伐他汀Tablets 500mgx90,Atorvastatin,阿托伐他汀,C10A,Cardiovascular,Tablets,500mgx90,1,1,0,0,48.76,48,Ambient,0,石药集团,30
SKU-0069,C10AA01,C,C10,C10A,C10AA,Simvastatin Injection 250mgx90,辛伐他汀Injection 250mgx90,Simvastatin,辛伐他汀,C10A,Cardiovascular,Injection,250mgx90,1,0,0,0,18.49,24,Ambient,0,诺华制药,7
SKU-0070,C09CA01,C,C09,C09C,C09CA,Losartan Tablets 100mgx28,氯沙坦Tablets 100mgx28,Losartan,氯沙坦,C09C,Cardiovascular,Tablets,100mgx28,1,0,0,0,74.59,24,Cold Chain,1,扬子江药业,7
SKU-0071,C07AB07,C,C07,C07A,C07AB,Bisoprolol Injection 250mgx100,比索洛尔Injection 250mgx100,Bisoprolol,比索洛尔,C07A,Cardiovascular,Injection,250mgx100,1,0,0,0,5.62,12,Ambient,0,齐鲁制药,30
SKU-0072,C10AA07,C,C10,C10A,C10AA,Rosuvastatin Tablets 50mgx100,瑞舒伐他汀Tablets 50mgx100,Rosuvastatin,瑞舒伐他汀,C10A,Cardiovascular,Tablets,50mgx100,1,1,1,7,76.95,48,Ambient,0,辉瑞制药,7
SKU-0073,C08CA01,C,C08,C08C,C08CA,Amlodipine Oral Solution 20mgx21,氨氯地平Oral Solution 20mgx21,Amlodipine,氨氯地平,C08C,Cardiovascular,Oral Solution,20mgx21,1,0,0,0,5.07,36,Ambient,0,正大天晴,7
SKU-0074,C07AB02,C,C07,C07A,C07AB,Metoprolol Capsules 10mgx30,美托洛尔Capsules 10mgx30,Metoprolol,美托洛尔,C07A,Cardiovascular,Capsules,10mgx30,1,0,0,0,73.61,18,Ambient,0,齐鲁制药,21
SKU-0075,C09CA03,C,C09,C09C,C09CA,Valsartan Granules 25mgx14,缬沙坦Granules 25mgx14,Valsartan,缬沙坦,C09C,Cardiovascular,Granules,25mgx14,1,0,0,0,72.05,48,Ambient,0,科伦药业,14
SKU-0076,C10AA05,C,C10,C10A,C10AA,Atorvastatin Tablets 250mgx21,阿托伐他汀Tablets 250mgx21,Atorvastatin,阿托伐他汀,C10A,Cardiovascular,Tablets,250mgx21,1,0,1,7,73.16,36,Ambient,0,扬子江药业,14
SKU-0077,C10AA01,C,C10,C10A,C10AA,Simvastatin Injection 500mgx90,辛伐他汀Injection 500mgx90,Simvastatin,辛伐他汀,C10A,Cardiovascular,Injection,500mgx90,1,0,0,0,31.1,24,Ambient,0,赛诺菲,7
SKU-0078,C09CA01,C,C09,C09C,C09CA,Losartan Oral Solution 250mgx14,氯沙坦Oral Solution 250mgx14,Losartan,氯沙坦,C09C,Cardiovascular,Oral Solution,250mgx14,1,0,1,3,35.6,36,Ambient,0,石药集团,21
SKU-0079,C07AB07,C,C07,C07A,C07AB,Bisoprolol Tablets 250mgx21,比索洛尔Tablets 250mgx21,Bisoprolol,比索洛尔,C07A,Cardiovascular,Tablets,250mgx21,1,1,1,4,12.07,18,Ambient,0,石药集团,21
SKU-0080,C10AA07,C,C10,C10A,C10AA,Rosuvastatin Capsules 250mgx30,瑞舒伐他汀Capsules 250mgx30,Rosuvastatin,瑞舒伐他汀,C10A,Cardiovascular,Capsules,250mgx30,1,0,0,0,68.51,36,Ambient,0,齐鲁制药,21
SKU-0081,C08CA01,C,C08,C08C,C08CA,Amlodipine Injection 100mgx100,氨氯地平Injection 100mgx100,Amlodipine,氨氯地平,C08C,Cardiovascular,Injection,100mgx100,1,1,1,5,55.9,18,Ambient,0,石药集团,7
SKU-0082,C07AB02,C,C07,C07A,C07AB,Metoprolol Oral Solution 25mgx28,美托洛尔Oral Solution 25mgx28,Metoprolol,美托洛尔,C07A,Cardiovascular,Oral Solution,25mgx28,1,0,1,4,71.65,36,Ambient,0,扬子江药业,14
SKU-0083,C09CA03,C,C09,C09C,C09CA,Valsartan Injection 250mgx14,缬沙坦Injection 250mgx14,Valsartan,缬沙坦,C09C,Cardiovascular,Injection,250mgx14,1,0,0,0,35.87,12,Ambient,0,赛诺菲,30
SKU-0084,C10AA05,C,C10,C10A,C10AA,Atorvastatin Granules 5mgx30,阿托伐他汀Granules 5mgx30,Atorvastatin,阿托伐他汀,C10A,Cardiovascular,Granules,5mgx30,1,0,0,0,9.86,18,Ambient,0,扬子江药业,30
SKU-0085,J01CA04,J,J01,J01C,J01CA,Amoxicillin Injection 500mgx90,阿莫西林Injection 500mgx90,Amoxicillin,阿莫西林,J01C,Antibiotics,Injection,500mgx90,1,0,1,1,16.06,12,Ambient,0,正大天晴,30
SKU-0086,J01FA10,J,J01,J01F,J01FA,Azithromycin Granules 50mgx30,阿奇霉素Granules 50mgx30,Azithromycin,阿奇霉素,J01F,Antibiotics,Granules,50mgx30,1,1,1,5,20.11,24,Ambient,0,诺华制药,30
SKU-0087,J01DC02,J,J01,J01D,J01DC,Cefuroxime Tablets 50mgx28,头孢呋辛Tablets 50mgx28,Cefuroxime,头孢呋辛,J01D,Antibiotics,Tablets,50mgx28,1,0,1,4,29.84,18,Ambient,0,齐鲁制药,7
SKU-0088,J01MA12,J,J01,J01M,J01MA,Levofloxacin Oral Solution 50mgx30,左氧氟沙星Oral Solution 50mgx30,Levofloxacin,左氧氟沙星,J01M,Antibiotics,Oral Solution,50mgx30,1,0,0,0,45.92,24,Ambient,0,阿斯利康,30
SKU-0089,J01XD01,J,J01,J01X,J01XD,Metronidazole Injection 20mgx60,甲硝唑Injection 20mgx60,Metronidazole,甲硝唑,J01X,Antibiotics,Injection,20mgx60,1,0,0,0,48.55,18,Ambient,0,扬子江药业,30
SKU-0090,J01DD08,J,J01,J01D,J01DD,Cefixime Tablets 20mgx60,头孢克肟Tablets 20mgx60,Cefixime,头孢克肟,J01D,Antibiotics,Tablets,20mgx60,1,0,1,1,77.52,48,Cold Chain,1,正大天晴,30
SKU-0091,J01FA09,J,J01,J01F,J01FA,Clarithromycin Granules 500mgx60,克拉霉素Granules 500mgx60,Clarithromycin,克拉霉素,J01F,Antibiotics,Granules,500mgx60,1,1,1,3,20.98,48,Ambient,0,齐鲁制药,14
SKU-0092,J01MA14,J,J01,J01M,J01MA,Moxifloxacin Injection 25mgx60,莫西沙星Injection 25mgx60,Moxifloxacin,莫西沙星,J01M,Antibiotics,Injection,25mgx60,1,0,0,0,50.87,18,Ambient,0,恒瑞医药,21
SKU-0093,J01CA04,J,J01,J01C,J01CA,Amoxicillin Capsules 25mgx100,阿莫西林Capsules 25mgx100,Amoxicillin,阿莫西林,J01C,Antibiotics,Capsules,25mgx100,1,1,0,0,79.78,18,Ambient,0,赛诺菲,30
SKU-0094,J01FA10,J,J01,J01F,J01FA,Azithromycin Granules 100mgx90,阿奇霉素Granules 100mgx90,Azithromycin,阿奇霉素,J01F,Antibiotics,Granules,100mgx90,1,1,0,0,54.32,36,Ambient,0,石药集团,30
SKU-0095,J01DC02,J,J01,J01D,J01DC,Cefuroxime Granules 250mgx100,头孢呋辛Granules 250mgx100,Cefuroxime,头孢呋辛,J01D,Antibiotics,Granules,250mgx100,1,0,1,3,66.55,18,Ambient,0,阿斯利康,30
SKU-0096,J01MA12,J,J01,J01M,J01MA,Levofloxacin Tablets 5mgx30,左氧氟沙星Tablets 5mgx30,Levofloxacin,左氧氟沙星,J01M,Antibiotics,Tablets,5mgx30,1,1,0,0,34.2,18,Ambient,0,扬子江药业,21
SKU-0097,J01XD01,J,J01,J01X,J01XD,Metronidazole Capsules 500mgx7,甲硝唑Capsules 500mgx7,Metronidazole,甲硝唑,J01X,Antibiotics,Capsules,500mgx7,1,1,1,7,78.04,12,Ambient,0,正大天晴,30
SKU-0098,J01DD08,J,J01,J01D,J01DD,Cefixime Capsules 250mgx7,头孢克肟Capsules 250mgx7,Cefixime,头孢克肟,J01D,Antibiotics,Capsules,250mgx7,1,1,0,0,79.87,18,Ambient,0,正大天晴,30
SKU-0099,J01FA09,J,J01,J01F,J01FA,Clarithromycin Capsules 500mgx60,克拉霉素Capsules 500mgx60,Clarithromycin,克拉霉素,J01F,Antibiotics,Capsules,500mgx60,1,0,1,5,44.85,36,Ambient,0,扬子江药业,14
SKU-0100,J01MA14,J,J01,J01M,J01MA,Moxifloxacin Granules 100mgx100,莫西沙星Granules 100mgx100,Moxifloxacin,莫西沙星,J01M,Antibiotics,Granules,100mgx100,1,0,0,0,76.82,12,Ambient,0,石药集团,30
SKU-0101,J01CA04,J,J01,J01C,J01CA,Amoxicillin Tablets 5mgx60,阿莫西林Tablets 5mgx60,Amoxicillin,阿莫西林,J01C,Antibiotics,Tablets,5mgx60,1,0,1,2,18.72,24,Ambient,0,诺华制药,21
SKU-0102,J01FA10,J,J01,J01F,J01FA,Azithromycin Oral Solution 5mgx21,阿奇霉素Oral Solution 5mgx21,Azithromycin,阿奇霉素,J01F,Antibiotics,Oral Solution,5mgx21,1,0,0,0,6.44,48,Ambient,0,恒瑞医药,21
SKU-0103,J01DC02,J,J01,J01D,J01DC,Cefuroxime Injection 500mgx28,头孢呋辛Injection 500mgx28,Cefuroxime,头孢呋辛,J01D,Antibiotics,Injection,500mgx28,1,0,0,0,68.56,12,Ambient,0,扬子江药业,30
SKU-0104,J01MA12,J,J01,J01M,J01MA,Levofloxacin Capsules 20mgx7,左氧氟沙星Capsules 20mgx7,Levofloxacin,左氧氟沙星,J01M,Antibiotics,Capsules,20mgx7,1,0,0,0,34.66,36,Cold Chain,1,石药集团,7
SKU-0105,J01XD01,J,J01,J01X,J01XD,Metronidazole Injection 25mgx28,甲硝唑Injection 25mgx28,Metronidazole,甲硝唑,J01X,Antibiotics,Injection,25mgx28,1,0,0,0,66.93,18,Ambient,0,齐鲁制药,21
